caseid,wgt,month,year,trips_single,trips_md,des_name,des_direction,des_address,des_primary_city,des_secondary_city,des_state,des_county,des_zipcode,site_id_agg,lat_lon_des,lat_lon_des_agg,days,es_origin,es_origin_zip,es_origin_city,es_origin_state,md_days_rec,travel_others,travel_others_num
86777324,1483.7962,11,2012,1,0,"PINE ISLAND NATIONAL WILDLIFE REFUGE","","","","","FL","","",57,"26.6136N,82.1222W","26.4486N,81.9427W",,0,"-1","-1","-1",,,
86777324,1483.7962,11,2012,1,0,"FORT ISLAND BEACH AND BOAT RAMP","","16000 WEST FORT ISLAND TRAIL","CRYSTAL RIVER","","FL","CITRUS","",40,"28.9106N,82.6940W","28.9001N,82.5930W",,0,"-1","-1","-1",,,
86777324,1483.7962,11,2012,1,0,"FORT ISLAND BEACH AND BOAT RAMP","","16000 WEST FORT ISLAND TRAIL","CRYSTAL RIVER","","FL","CITRUS","",40,"28.9106N,82.6940W","28.9001N,82.5930W",1,0,"-1","-1","-1",-1,1,-1
86777324,1400.3729,12,2012,1,0,"FORT ISLAND BEACH AND BOAT RAMP","","16000 WEST FORT ISLAND TRAIL","CRYSTAL RIVER","","FL","CITRUS","",40,"28.9106N,82.6940W","28.9001N,82.5930W",1,0,"-1","-1","-1",-1,1,-1
86784069,9043.1461,4,2013,.23054543,0,"","","","SAINT AUGUSTINE BEACH","","FL","","",78,"29.8545N,81.2797W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,3
86784069,3445.011,3,2013,.47573088,0,"","","","SAINT AUGUSTINE BEACH","","FL","","",78,"29.8545N,81.2797W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,3
86784069,3400.2446,2,2013,.2937237,0,"","","","SAINT AUGUSTINE BEACH","","FL","","",78,"29.8545N,81.2797W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,3
86784069,3445.011,3,2013,.47573088,0,"","","","SAINT AUGUSTINE BEACH","","FL","","",78,"29.8545N,81.2797W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,3
86784069,9043.1461,4,2013,.23054543,0,"","","","SAINT AUGUSTINE BEACH","","FL","","",78,"29.8545N,81.2797W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,3
86784069,3400.2446,2,2013,.2937237,0,"","","","SAINT AUGUSTINE BEACH","","FL","","",78,"29.8545N,81.2797W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,3
86784069,9043.1461,4,2013,.23054543,0,"","","","SAINT AUGUSTINE BEACH","","FL","","",78,"29.8545N,81.2797W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,3
86784069,3400.2446,2,2013,.2937237,0,"","","","SAINT AUGUSTINE BEACH","","FL","","",78,"29.8545N,81.2797W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,3
86784069,3445.011,3,2013,.47573088,0,"","","","SAINT AUGUSTINE BEACH","","FL","","",78,"29.8545N,81.2797W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,3
86794170,1477.4383,1,2013,1,0,"","","","BRADENTON","","FL","MANATEE","",50,"27.4955N,82.5780W","27.5157N,82.5729W",1,0,"-1","-1","-1",-1,2,1
86794170,1774.8273,12,2012,1,0,"","","","BRADENTON","","FL","MANATEE","",50,"27.4955N,82.5780W","27.5157N,82.5729W",1,0,"-1","-1","-1",-1,2,1
86794170,1477.4383,1,2013,1,0,"","","","BRADENTON","","FL","MANATEE","",50,"27.4955N,82.5780W","27.5157N,82.5729W",1,0,"-1","-1","-1",-1,2,1
86798981,2574.6015,1,2013,1,0,"","","","CLEARWATER BEACH","","FL","PINELLAS","",44,"28.0000N,82.8286W","28.0000N,82.8286W",1,0,"-1","-1","-1",-1,2,1
86798981,3092.835,12,2012,1,0,"","","","CLEARWATER BEACH","","FL","PINELLAS","",44,"28.0000N,82.8286W","28.0000N,82.8286W",1,0,"-1","-1","-1",-1,2,3
86798981,2574.6015,1,2013,1,0,"","","","CLEARWATER BEACH","","FL","PINELLAS","",44,"28.0000N,82.8286W","28.0000N,82.8286W",1,0,"-1","-1","-1",-1,2,1
86800905,1401.9962,1,2013,.33368858,0,"","","","PANAMA CITY BEACH","","FL","","",31,"30.1916N,85.8324W","30.1916N,85.8324W",,0,"-1","-1","-1",,,
86800905,1566.8613,12,2012,.31639556,0,"","","","PANAMA CITY BEACH","","FL","","",31,"30.1916N,85.8324W","30.1916N,85.8324W",,0,"-1","-1","-1",,,
86800905,1941.739,2,2013,1,0,"","","","PANAMA CITY BEACH","","FL","","",31,"30.1916N,85.8324W","30.1916N,85.8324W",1,0,"-1","-1","-1",-1,2,2
