ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01434,49340,0.657608696,0.882562278,0.648648649,0.782868526
01434,15764,0.342391304,0.117437722,0.351351351,0.217131474
01436,49340,1.000000000,1.000000000,1.000000000,1.000000000
01438,49340,0.000000000,0.000000000,1.000000000,1.000000000
01440,49340,1.000000000,1.000000000,1.000000000,1.000000000
01441,49340,0.000000000,0.000000000,1.000000000,1.000000000
01450,15764,1.000000000,1.000000000,1.000000000,1.000000000
01451,49340,1.000000000,1.000000000,1.000000000,1.000000000
01452,49340,1.000000000,1.000000000,1.000000000,1.000000000
01453,49340,1.000000000,1.000000000,1.000000000,1.000000000
01460,15764,1.000000000,1.000000000,1.000000000,1.000000000
01462,49340,0.998583569,1.000000000,1.000000000,0.998683468
01462,15764,0.001416431,0.000000000,0.000000000,0.001316532
01463,15764,1.000000000,1.000000000,1.000000000,1.000000000
01464,15764,1.000000000,1.000000000,1.000000000,1.000000000
01467,49340,0.000000000,0.000000000,1.000000000,1.000000000
01468,49340,1.000000000,1.000000000,1.000000000,1.000000000
01469,15764,1.000000000,1.000000000,1.000000000,1.000000000
01472,15764,0.000000000,0.000000000,1.000000000,1.000000000
01473,49340,1.000000000,1.000000000,1.000000000,1.000000000
01474,15764,1.000000000,1.000000000,1.000000000,1.000000000
01475,49340,1.000000000,1.000000000,1.000000000,1.000000000
01477,49340,0.000000000,0.000000000,1.000000000,1.000000000
01501,49340,1.000000000,1.000000000,1.000000000,1.000000000
01503,49340,1.000000000,1.000000000,1.000000000,1.000000000
01504,49340,0.998374424,1.000000000,0.992366412,0.998235887
01504,14484,0.001625576,0.000000000,0.007633588,0.001764113
01505,49340,1.000000000,1.000000000,1.000000000,1.000000000
01506,49340,1.000000000,1.000000000,1.000000000,1.000000000
01507,49340,1.000000000,1.000000000,1.000000000,1.000000000
01508,49340,0.000000000,0.000000000,1.000000000,1.000000000
01510,49340,1.000000000,1.000000000,1.000000000,1.000000000
01515,49340,1.000000000,1.000000000,1.000000000,1.000000000
01516,49340,1.000000000,1.000000000,1.000000000,1.000000000
01518,49340,1.000000000,1.000000000,1.000000000,1.000000000
01519,49340,1.000000000,1.000000000,1.000000000,1.000000000
01520,49340,1.000000000,1.000000000,1.000000000,1.000000000
01521,44140,1.000000000,1.000000000,1.000000000,1.000000000
